line_number,text,speaker_id,language,gender
1,अपने जीवन का लक्ष्य निर्धारित करो | और सभी दूसरे विचार  को  अपने दिमाग से निकाल दो यही सफलता की पूंजी है |,0001,Hin,f
2,सफलता पाने के लिए हमें पहले विश्वास करना होगा की हम कर सकते हैं,0001,Hin,f
3,इसके कारण उपभोक्ताआें को सीधा फायदा होगा।,0001,Hin,f
4,सहारा मरुस्थल से जुड़ी रिसर्च का नेतृत्व करने वाले एमआईटी के पूर्व अनुसंधानकर्ता चार्लोट ने पिछले दो   लाख चालीस  हजार साल तक जमा हुईं पर्तों का विश्लेषण किया है।,0001,Hin,f
5,यह भी बताए कि वापस लिए गए केस दोबारा शुरू करने के लिए कोई कानून है या नहीं।,0001,Hin,f
6,यह पूर्व से पश्चिम की ओर बहती है तथा डेल्टाओं को निर्माण नही करती।,0001,Hin,f
7,बिहार से बाहर के अभ्यर्थी को इसका लाभ नहीं मिलेगा।,0001,Hin,f
8,इसके तट पर स्थित है ज्योतिर्लिंग,0001,Hin,f
9,"महाराष्ट्र में एक   प्रतिशत, गुजरात में एक  , राजस्थान में एक  , यूपी में दो   और मप्र में एक   प्रतिशत मंडी टैक्स लग रहा है।",0001,Hin,f
10,निजी कंपनी को प्लेटफॉर्म टिकट और पार्किंग की दर तय करने का अधिकार होगा,0001,Hin,f
11,धर्म ग्रंथों में भी मिलता है इस नदी का वर्णन,0001,Hin,f
12,इनके अलावा रेलवे ने कई ट्रेनों के रूट में परिवर्तन किया है और कई गाड़ियों को आंशिक रूप से रद्द किया है।,0001,Hin,f
13,हमने कोई टैक्स प्रस्ताव पेश नहीं किया है।,0001,Hin,f
14,इसी प्रकार गोमिया में भी मरे मिले पक्षियों के खिलाफ भी नेगेटिव रिपोर्ट मिलने के बाद बर्ड फ्लू की पुष्टि की गई।,0001,Hin,f
15,पुराणों के अनुसार यह मुंडमाला शिव और सती के प्रेम की भी प्रतीक है।,0001,Hin,f
16,इसके माध्यम से प्रश्न पत्र की संख्या बीस  के बाद कंटिन्यू कराने का निर्देश दिया।,0001,Hin,f
17,परमेश्‍वर सब जानते हैं।,0001,Hin,f
18,बिहार में कमजोर वर्गों को सरकारी सेवाओं के साथ-साथ शैक्षणिक संस्थानों में दस  फीसदी आरक्षण दिया जाएगा।,0001,Hin,f
19,"धर्म शास्त्रों के अनुसार, माघ माह की शुक्ल पक्ष की सप्तमी को नर्मदा जयंती का पर्व मनाया जाता है।",0001,Hin,f
20,"धर्म शास्त्रों के अनुसार, माघ माह की शुक्ल पक्ष की सप्तमी को नर्मदा जयंती का पर्व मनाया जाता है।",0001,Hin,f
21,लेकिन इससे कार्मिकों के आर्थिक हित बहुत अधिक प्रभावित नहीं होने वाले हैं।,0001,Hin,f
22,"अफसरों के मुताबिक, इससे बिना टिकट यात्रियाें के स्टेशन में प्रवेश पर अंकुश लगेगा।",0001,Hin,f
23,एक बार एक बहुत सुन्दर लड़की थी |,0001,Hin,f
